		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Intercropping	Intercropping	Crop Rotation	Crop Rotation	Improved Seeds	Improved Seeds	Organic Fertilisers	Organic Fertilisers
									
extension_access	Extension access (dummy, Yes=1)	0.166***	0.165***	0.079***	0.081***	0.119***	0.119***	0.008	0.009
		(0.019)	(0.019)	(0.016)	(0.016)	(0.017)	(0.017)	(0.015)	(0.015)
age	Age of household head (years)	0.020***	0.022***	0.005	0.004	0.007	0.007	0.004	0.004
		(0.007)	(0.007)	(0.006)	(0.006)	(0.006)	(0.006)	(0.005)	(0.004)
hhsize	Household size (number of persons)	0.007***	0.007***	0.002*	0.002*	-0.002	-0.002	-0.006***	-0.006***
		(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
dmurbain	Distance to the nearest urban market (km)	-0.001*	-0.001*	0.002***	0.002***	-0.002***	-0.002***	0.002***	0.002***
		(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
dmvillage	Distance the nearest village market (km)	-0.005**	-0.005**	-0.012***	-0.011***	0.007***	0.006***	-0.003*	-0.003*
		(0.002)	(0.002)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)
association	Cooperative membership (dummy)	0.033	0.029	0.046**	0.048***	0.038**	0.036**	0.035**	0.033**
		(0.023)	(0.023)	(0.018)	(0.018)	(0.018)	(0.018)	(0.014)	(0.014)
clabor_ha	Labor cost (USD/ha)	-0.000*	-0.000*	0.000	0.000	0.001***	0.001***	0.001***	0.001***
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
gsize	Groundnut area (ha)	0.018***	0.018***	0.039***	0.040***	0.016***	0.016***	0.047***	0.047***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.005)	(0.005)	(0.005)	(0.005)
off_farm	Off-farm income (dummy)	-0.003	-0.003	0.004	0.011	0.045	0.045	-0.065***	-0.070***
		(0.032)	(0.031)	(0.026)	(0.026)	(0.031)	(0.030)	(0.023)	(0.023)
dratio	Dependency ratio	0.018***	0.018***	-0.002	-0.001	-0.002	-0.002	0.019***	0.018***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.006)	(0.006)	(0.005)	(0.005)
typsoil1	Clay soil (dummy)	0.017	0.021	0.034	0.041*	-0.007	-0.008	0.012	0.008
		(0.028)	(0.028)	(0.024)	(0.024)	(0.023)	(0.023)	(0.020)	(0.020)
typsoil2	Sandy-clay soil (dummy)	0.023	0.026	0.023	0.022	-0.010	-0.009	0.036**	0.036**
		(0.022)	(0.022)	(0.018)	(0.018)	(0.018)	(0.018)	(0.016)	(0.016)
typsoil3	Silty soil (dummy)	0.026	0.029	0.027	0.031	0.002	0.002	0.013	0.012
		(0.027)	(0.027)	(0.024)	(0.024)	(0.023)	(0.023)	(0.020)	(0.020)
Constant	Constant	-0.810**	-0.877***	-0.207	0.105	-0.037	-0.065	0.350	0.165
		(0.321)	(0.316)	(0.276)	(0.271)	(0.294)	(0.290)	(0.229)	(0.215)
									
Observations		8,604	8,604	8,604	8,604	8,604	8,604	8,604	8,604
R-squared		0.066	0.057	0.064	0.055	0.046	0.043	0.088	0.079
Number of id		2,868	2,868	2,868	2,868	2,868	2,868	2,868	2,868
Additional controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
District FE		Yes	No	Yes	No	Yes	No	Yes	No
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
